,RW,IG,FPX,RNG,SN,EDG,WE,BLG,SS,OMG,TOP,LGD,JDG,VG
RW,N/A,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs
IG,vs,N/A,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs
FPX,vs,vs,N/A,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs
RNG,vs,vs,vs,N/A,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs
SN,vs,vs,vs,vs,N/A,vs,vs,vs,vs,vs,vs,vs,vs,vs
WE,vs,vs,vs,vs,vs,vs,N/A,vs,vs,vs,vs,vs,vs,vs
BLG,vs,vs,vs,vs,vs,vs,vs,N/A,vs,vs,vs,vs,vs,vs
SS,vs,vs,vs,vs,vs,vs,vs,vs,N/A,vs,vs,vs,vs,vs
OMG,vs,vs,vs,vs,vs,vs,vs,vs,vs,N/A,vs,vs,vs,vs
TOP,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,N/A,vs,vs,vs
LGD,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,N/A,vs,vs
JDG,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,N/A,vs
VG,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,N/A
