Rank,Player,Position,Stages,TotalKill(Avg.),TotalAssistant(Avg.),TotalDeath(Avg.),KDA,AverageGoldGain,AverageFarming,AverageWarding,AverageAntiWarding,AverageTeamfight%,MVP
1,RWSmlz,ADC,55,260 (4.7),244 (4.4),115 (2),4.3,14958,336,9,13,0.72,10
2,IGJackeyLove,ADC,51,247 (4.8),283 (5.5),119 (2.3),4.4,15101,344,11,15,0.645,7
3,FPXlwx,ADC,46,211 (4.5),209 (4.5),107 (2.3),3.9,15567,353,11,11,0.699,6
4,RNGUzi,ADC,43,210 (4.8),201 (4.6),68 (1.5),6.0,16322,389,14,16,0.753,8
5,IGRooKiE,MID,51,200 (3.9),352 (6.9),103 (2),5.3,13873,304,13,8,0.738,11
6,SNGKnight,MID,48,193 (4),254 (5.2),100 (2),4.4,15231,352,18,11,0.727,10
7,EDGiBoy,ADC,53,192 (3.6),262 (4.9),87 (1.6),5.2,14940,334,12,17,0.746,6
8,EDGScout,MID,56,184 (3.2),273 (4.8),96 (1.7),4.7,14181,311,14,7,0.749,13
9,WEMystic,ADC,47,183 (3.8),208 (4.4),110 (2.3),3.5,16240,424,15,29,0.748,6
10,WExiye,MID,47,182 (3.8),227 (4.8),87 (1.8),4.7,15492,415,15,8,0.759,11
11,RNGXiaohu,MID,61,182 (2.9),329 (5.3),117 (1.9),4.3,14212,327,13,10,0.708,8
12,SNGFury,ADC,48,180 (3.7),223 (4.6),79 (1.6),5.1,15421,347,14,17,0.651,4
13,BLGJinjiao,ADC,50,178 (3.5),237 (4.7),82 (1.6),5.0,14856,333,11,13,0.737,2
14,SSGuoguo,MID,47,149 (3.1),212 (4.5),85 (1.8),4.2,14775,336,19,6,0.735,3
15,OMGicon,MID,40,147 (3.6),148 (3.7),93 (2.3),3.1,13907,325,17,7,0.679,6
16,TOPQiuQiu,ADC,44,143 (3.2),127 (2.8),118 (2.6),2.2,14857,354,17,14,0.655,0
17,RWDoinb,MID,55,142 (2.5),375 (6.8),123 (2.2),4.2,13926,322,11,10,0.777,6
18,LGDYuuki,MID,44,136 (3),189 (4.2),122 (2.7),2.6,13825,325,8,10,0.665,3
19,IGNing,JG,50,135 (2.7),406 (8.1),107 (2.1),5.0,11195,160,36,13,0.782,6
20,SSkRYST4L,ADC,43,129 (3),201 (4.6),93 (2.1),3.5,15946,372,12,16,0.802,4
21,BLGAmazingJ,TOP,50,127 (2.5),275 (5.5),95 (1.9),4.2,13987,287,19,5,0.59,9
22,JDGYagao,MID,50,127 (2.5),279 (5.5),96 (1.9),4.2,13561,308,14,8,0.734,7
23,OMGChelly,ADC,39,126 (3.2),179 (4.5),92 (2.3),3.3,14421,336,12,13,0.73,2
24,LGDJinoo,TOP,50,120 (2.4),209 (4.1),110 (2.2),2.9,14240,313,18,8,0.617,3
25,RWFlawless,JG,55,115 (2),353 (6.4),114 (2),4.1,10770,166,51,17,0.731,9
